Provincias;Municipios;Sexo;Edad;Total
05 Ávila;05056 Castellanos de Zapardiel;Total;De 65 a 69 años;12
05 Ávila;05056 Castellanos de Zapardiel;Total;De 70 a 74 años;5
05 Ávila;05056 Castellanos de Zapardiel;Total;De 75 a 79 años;5
05 Ávila;05056 Castellanos de Zapardiel;Total;De 80 a 84 años;6
05 Ávila;05056 Castellanos de Zapardiel;Total;De 85 a 89 años;5
05 Ávila;05056 Castellanos de Zapardiel;Total;De 90 a 94 años;3
05 Ávila;05056 Castellanos de Zapardiel;Total;De 95 a 99 años;2
05 Ávila;05056 Castellanos de Zapardiel;Total;100 y más años;0
05 Ávila;05057 Cebreros;Total;De 65 a 69 años;195
05 Ávila;05057 Cebreros;Total;De 70 a 74 años;179
05 Ávila;05057 Cebreros;Total;De 75 a 79 años;168
05 Ávila;05057 Cebreros;Total;De 80 a 84 años;142
05 Ávila;05057 Cebreros;Total;De 85 a 89 años;82
05 Ávila;05057 Cebreros;Total;De 90 a 94 años;67
05 Ávila;05057 Cebreros;Total;De 95 a 99 años;10
05 Ávila;05057 Cebreros;Total;100 y más años;2
05 Ávila;05058 Cepeda la Mora;Total;De 65 a 69 años;4
05 Ávila;05058 Cepeda la Mora;Total;De 70 a 74 años;7
05 Ávila;05058 Cepeda la Mora;Total;De 75 a 79 años;4
05 Ávila;05058 Cepeda la Mora;Total;De 80 a 84 años;3
05 Ávila;05058 Cepeda la Mora;Total;De 85 a 89 años;1
05 Ávila;05058 Cepeda la Mora;Total;De 90 a 94 años;2
05 Ávila;05058 Cepeda la Mora;Total;De 95 a 99 años;1
05 Ávila;05058 Cepeda la Mora;Total;100 y más años;0
05 Ávila;05059 Cillán;Total;De 65 a 69 años;7
05 Ávila;05059 Cillán;Total;De 70 a 74 años;5
05 Ávila;05059 Cillán;Total;De 75 a 79 años;8
05 Ávila;05059 Cillán;Total;De 80 a 84 años;3
05 Ávila;05059 Cillán;Total;De 85 a 89 años;5
05 Ávila;05059 Cillán;Total;De 90 a 94 años;3
05 Ávila;05059 Cillán;Total;De 95 a 99 años;2
