ID|TIPO_VIA|NOMBRE_VIA|PORTAL1|PORTAL2|CODPOSTAL|COD_INE_MUNICIPIO|PROVINCIA|MUNICIPIO|POBLACION|LATITUD_WGS84_4326|LONGITUD_WGS84_4326
40-E1-00024||CALLE MARISCUELA|S-N||40141|40001|SEGOVIA|ABADES|ABADES||
40-E1-00025||CALLE EZEQUIEL GONZALEZ|21|||40194|SEGOVIA|SEGOVIA|SEGOVIA||
40-E1-00027||PLAZA MAYOR|8||40430|40030|SEGOVIA|BERNARDOS|BERNARDOS||
40-E1-00030||CALLE BAYONA|21||40560|40032|SEGOVIA|BOCEGUILLAS|BOCEGUILLAS||
40-E1-00036||CALLE REAL|S-N||40591|40053|SEGOVIA|CEREZO DE ABAJO|CEREZO DE ABAJO||
40-E1-00038||CALLE PLAZA DEL ARCO|2||40480|40057|SEGOVIA|COCA|COCA||
40-E1-00039||CALLE ALTA|4||40240|40095|SEGOVIA|GOMEZSERRACÍN|GOMEZSERRACIN||
40-E1-00043||CALLE REAL|36||40357|40092|SEGOVIA|FUENTIDUEÑA|FUENTIDUEÑA||
40-E1-00048||CALLE SAN JUAN|17||40446|40121|SEGOVIA|MARTÍN MUÑOZ DE LAS POSADAS|MARTIN MUÑOZ DE LAS POSADAS||
40-E1-00051||CALLE IGLESIA|16||40183|40136|SEGOVIA|MUÑOVEROS|MUÑOVEROS||
40-E1-00055||PLAZA MAYOR|S-N||40280|40141|SEGOVIA|NAVALMANZANO|NAVALMANZANO||
40-E1-00057||CALLE FRAGUA|10||40171|40206|SEGOVIA|TORRE VAL DE SAN PEDRO|TORRE VAL DE SAN PEDRO||
40-E1-00059||CALLE MARTIRES|1||40422|40152|SEGOVIA|OTERO DE HERREROS|OTERO DE HERREROS||
40-E1-00072||PLAZA ESPAÑA|4|||40208|SEGOVIA|TURÉGANO|TUREGANO||
40-E1-00074||PLAZA MAYOR|7||40219|40228|SEGOVIA|VILLAVERDE DE ÍSCAR|VILLAVERDE DE ISCAR||
40-E1-00077||CALLE IGLESIA|18||40150|40225|SEGOVIA|VILLACASTÍN|VILLACASTIN||
40-E1-00085||CALLE REAL|14||40463|40058|SEGOVIA|CODORNIZ|CODORNIZ||
40-E1-00087||CALLE DOCTOR LAURENTINO CARDIEL|18||40390|40214|SEGOVIA|VALSECA|VALSECA||
40-E1-00092||CALLE NUEVA|9||40192|40205|SEGOVIA|TORREIGLESIAS|TORREIGLESIAS||
40-E1-00101||CALLE CARRETERA TRESCASAS|44|||40906|SEGOVIA|SAN CRISTÓBAL DE SEGOVIA|San Cristobal de Segovia||
42-E1-00003||CALLE RONDA DE SAN FRANCISCO|1||42200|42020|SORIA|ALMAZÁN|ALMAZAN||
42-E1-00004||CALLE JUSTO Y SANCHEZ|2||42200|42020|SORIA|ALMAZÁN|ALMAZAN||
42-E1-00005||CALLE MERCED (LA)|35||42200|42020|SORIA|ALMAZÁN|ALMAZAN||
42-E1-00006||CALLE SAN SALVADOR|1||42200|42020|SORIA|ALMAZÁN|ALMAZAN||
42-E1-00008||CALLE TABLADA (LA)|9||42180|42017|SORIA|ALMAJANO|ALMAJANO||
42-E1-00012||CALLE MAYOR|9||42300|42043|SORIA|BURGO DE OSMA-CIUDAD DE OSMA|BURGO DE OSMA (EL)||
42-E1-00015||CALLE SOLEDAD|0||42213|42029|SORIA|BARAONA|BARAONA||
42-E1-00029||CALLE URBANIZACIÓN-CAMARETAS N|2||42190|42095|SORIA|GOLMAYO|GOLMAYO||
42-E1-00030||CTRA BARAONA|15||42240|42113|SORIA|MEDINACELI|MEDINACELI||
42-E1-00031||CALLE ARRABAL|6||42223|42123|SORIA|MORÓN DE ALMAZÁN|MORON DE ALMAZAN||
42-E1-00034||CALLE CERVANTES|5||42110|42134|SORIA|ÓLVEGA|OLVEGA||
42-E1-00038||CALLE SAN ISIDRO|S-N||42191|42149|SORIA|LOS RÁBANOS|RABANOS (LOS)||
42-E1-00046||CALLE PLAZA MAYOR|12||42127|42171|SORIA|SERÓN DE NÁGIMA|SERON DE NAGIMA||
42-E1-00047||AVDA MARIANO VICEN|1||42003|42173|SORIA|SORIA|SORIA||
42-E1-00048||CALLE COLLADO (EL)|46||42002|42173|SORIA|SORIA|SORIA||
42-E1-00058||CALLE Paseo Santa Bárbara c/v C/ Merineros|0|||42173|SORIA|SORIA|SORIA||
42-E1-00068||CALLE VALONSADERO|22||42001|42173|SORIA|SORIA|SORIA||
47-E1-00004||PASEO SAN VICENTE|22||47013|47186|VALLADOLID|VALLADOLID|VALLADOLID||
47-E1-00005||CALLE MARINA ESCOBAR|7||47004|47186|VALLADOLID|VALLADOLID|VALLADOLID||
47-E1-00007||CALLE FERRARI|34||47001|47186|VALLADOLID|VALLADOLID|VALLADOLID||
47-E1-00009||AVDA CERROS|2||47009|47186|VALLADOLID|VALLADOLID|VALLADOLID||
47-E1-00012||CALLE LOPEZ GOMEZ|5||47002|47186|VALLADOLID|VALLADOLID|VALLADOLID||
47-E1-00013||CALLE HERNANDO DE ACUÑA|1||47014|47186|VALLADOLID|VALLADOLID|VALLADOLID||
47-E1-00014||PLAZA SAN PABLO|S-N||47011|47186|VALLADOLID|VALLADOLID|VALLADOLID||
47-E1-00017||AVDA SEGOVIA|6||47013|47186|VALLADOLID|VALLADOLID|VALLADOLID||
47-E1-00018||CALLE DUQUE DE LA VICTORIA|20||47001|47186|VALLADOLID|VALLADOLID|VALLADOLID||
47-E1-00019||CALLE SAN ISIDRO|45||47012|47186|VALLADOLID|VALLADOLID|VALLADOLID||
